applicationCompletionTime,dataSize,nCores,nCoresTensorflow
1023840,1000,8,8
1067513,1000,8,8
1028216,1000,8,8
1015143,1000,8,8
1007259,1000,8,8
1469452,1500,6,8
1501485,1500,6,8
1555670,1500,6,8
1506559,1500,6,8
1562050,1500,6,8
1537724,2500,38,40
1602726,2500,38,40
1544285,2500,38,40
1636869,2500,38,40
587987,1000,44,48
586860,1000,44,48
581157,1000,44,48
571671,1000,44,48
582132,1000,44,48
1859605,2500,24,24
1857951,2500,24,24
1812486,2500,24,24
1810781,2500,24,24
1820076,2500,24,24
645379,1000,28,32
628772,1000,28,32
640794,1000,28,32
651361,1000,28,32
635183,1000,28,32
1863037,2500,12,16
1831060,2500,12,16
1884486,2500,12,16
2033831,2500,12,16
1836788,2500,12,16
1536520,2500,48,48
1603233,2500,48,48
1669720,2500,48,48
1553519,2500,48,48
1610652,2500,26,32
1696162,2500,26,32
1588515,2500,26,32
1771503,2500,26,32
1741634,2500,26,32
1920864,2500,10,16
1962806,2500,10,16
1961819,2500,10,16
1933248,2500,10,16
1964210,2500,10,16
2562687,2500,2,8
2495203,2500,2,8
2456108,2500,2,8
2709919,2500,2,8
2546948,2500,2,8
2639144,2500,2,8
2711840,2500,2,8
2690113,2500,2,8
2621538,2500,2,8
2537488,2500,2,8
1043628,1500,24,24
1033724,1500,24,24
1008393,1500,24,24
1029424,1500,24,24
1040281,1500,24,24
1724762,2500,30,32
1666523,2500,30,32
1566445,2500,30,32
1687165,2500,30,32
1745103,2500,30,32
740088,1000,16,16
767466,1000,16,16
722753,1000,16,16
754612,1000,16,16
766233,1000,16,16
1056380,1500,22,24
1095753,1500,22,24
1013793,1500,22,24
1054424,1500,22,24
1133656,1500,22,24
1481777,1500,8,8
1597550,1500,8,8
1569838,1500,8,8
1511811,1500,8,8
1533583,1500,8,8
598504,1000,40,40
594779,1000,40,40
598011,1000,40,40
602951,1000,40,40
597202,1000,40,40
1027102,1500,26,32
985168,1500,26,32
1163240,1500,26,32
1008556,1500,26,32
1006357,1500,26,32
