confidence,hypo_step,max_arm_length,num_threads,exec_time_ms
64,3,16,32,8573.0
64,3,16,32,9110.0
44,3,16,32,7172.0
34,3,16,32,7038.0
24,3,16,32,7566.0
14,3,16,32,7038.0
64,2,16,32,8015.0
54,2,16,32,8193.0
44,2,16,32,9638.0
34,2,16,32,9342.0
24,2,16,32,9786.0
14,2,16,32,9261.0
64,1,16,32,15784.0
54,1,16,32,13231.0
44,1,16,32,14195.0
34,1,16,32,12873.0
24,1,16,32,13500.0
14,1,16,32,14115.0
64,3,15,32,8731.0
54,3,15,32,8792.0
44,3,15,32,9279.0
34,3,15,32,7858.0
24,3,15,32,7950.0
14,3,15,32,8688.0
64,2,15,32,11434.0
54,2,15,32,10241.0
44,2,15,32,10719.0
34,2,15,32,9476.0
24,2,15,32,8504.0
14,2,15,32,9612.0
64,1,15,32,14538.0
54,1,15,32,14309.0
44,1,15,32,14742.0
34,1,15,32,12521.0
24,1,15,32,14402.0
14,1,15,32,13111.0
64,3,14,32,7486.0
54,3,14,32,6550.0
44,3,14,32,6745.0
34,3,14,32,7733.0
24,3,14,32,7843.0
14,3,14,32,7679.0
64,2,14,32,9568.0
54,2,14,32,8866.0
44,2,14,32,9986.0
34,2,14,32,9284.0
24,2,14,32,8947.0
14,2,14,32,7922.0
64,1,14,32,12965.0
54,1,14,32,12626.0
44,1,14,32,12932.0
34,1,14,32,13411.0
24,1,14,32,12184.0
14,1,14,32,13575.0
64,3,13,32,7219.0
54,3,13,32,8817.0
44,3,13,32,7333.0
34,3,13,32,7007.0
24,3,13,32,6922.0
14,3,13,32,6434.0
64,2,13,32,7917.0
54,2,13,32,7690.0
44,2,13,32,7929.0
34,2,13,32,7970.0
24,2,13,32,8346.0
14,2,13,32,8640.0
64,1,13,32,12494.0
54,1,13,32,12166.0
44,1,13,32,13003.0
34,1,13,32,12592.0
24,1,13,32,12692.0
14,1,13,32,12772.0
64,3,12,32,6494.0
54,3,12,32,6834.0
44,3,12,32,6892.0
34,3,12,32,7143.0
